 16:18:30 up 27 min,  1 user,  load average: 0.00, 0.06, 0.11
 16:18:41 up 28 min,  1 user,  load average: 0.00, 0.06, 0.11
 16:18:51 up 28 min,  1 user,  load average: 0.00, 0.06, 0.11
 16:19:01 up 28 min,  1 user,  load average: 0.00, 0.06, 0.11
 16:19:11 up 28 min,  1 user,  load average: 0.00, 0.05, 0.10
 16:19:21 up 28 min,  1 user,  load average: 0.07, 0.07, 0.11
 16:19:31 up 28 min,  1 user,  load average: 0.14, 0.08, 0.11
 16:19:41 up 29 min,  1 user,  load average: 0.12, 0.08, 0.11
 16:19:51 up 29 min,  1 user,  load average: 0.10, 0.08, 0.11
 16:20:01 up 29 min,  1 user,  load average: 0.08, 0.07, 0.11
 16:20:11 up 29 min,  1 user,  load average: 0.15, 0.09, 0.11
 16:20:21 up 29 min,  1 user,  load average: 0.13, 0.08, 0.11
 16:20:31 up 29 min,  1 user,  load average: 0.11, 0.08, 0.11
 16:20:41 up 30 min,  1 user,  load average: 0.09, 0.08, 0.10
 16:20:51 up 30 min,  1 user,  load average: 0.08, 0.08, 0.10
 16:21:01 up 30 min,  1 user,  load average: 0.06, 0.07, 0.10
 16:21:11 up 30 min,  1 user,  load average: 0.05, 0.07, 0.10
 16:21:21 up 30 min,  1 user,  load average: 0.05, 0.07, 0.10
 16:21:31 up 30 min,  1 user,  load average: 0.04, 0.06, 0.09
 16:21:41 up 31 min,  1 user,  load average: 0.03, 0.06, 0.09
 16:21:51 up 31 min,  1 user,  load average: 0.03, 0.06, 0.09
 16:22:01 up 31 min,  1 user,  load average: 0.02, 0.06, 0.09
 16:22:11 up 31 min,  1 user,  load average: 0.02, 0.05, 0.09
 16:22:21 up 31 min,  1 user,  load average: 0.02, 0.05, 0.09
 16:22:31 up 31 min,  1 user,  load average: 0.01, 0.05, 0.09
 16:22:41 up 32 min,  1 user,  load average: 0.01, 0.05, 0.09
 16:22:51 up 32 min,  1 user,  load average: 0.01, 0.05, 0.08
 16:23:01 up 32 min,  1 user,  load average: 0.01, 0.04, 0.08
 16:23:11 up 32 min,  1 user,  load average: 0.00, 0.04, 0.08
 16:23:21 up 32 min,  1 user,  load average: 0.00, 0.04, 0.08
 16:23:31 up 32 min,  1 user,  load average: 0.00, 0.04, 0.08
 16:23:41 up 33 min,  1 user,  load average: 0.00, 0.04, 0.08
 16:23:51 up 33 min,  1 user,  load average: 0.30, 0.10, 0.10
 16:24:01 up 33 min,  1 user,  load average: 0.25, 0.10, 0.10
 16:24:11 up 33 min,  1 user,  load average: 0.37, 0.13, 0.11
 16:24:21 up 33 min,  1 user,  load average: 0.55, 0.17, 0.12
 16:24:31 up 33 min,  1 user,  load average: 0.47, 0.17, 0.12
 16:24:41 up 34 min,  1 user,  load average: 0.54, 0.19, 0.13
 16:24:51 up 34 min,  1 user,  load average: 0.46, 0.19, 0.13
 16:25:01 up 34 min,  1 user,  load average: 0.46, 0.20, 0.13
 16:25:11 up 34 min,  1 user,  load average: 0.39, 0.19, 0.13
 16:25:21 up 34 min,  1 user,  load average: 0.33, 0.18, 0.13
 16:25:31 up 34 min,  1 user,  load average: 0.28, 0.18, 0.13
 16:25:41 up 35 min,  1 user,  load average: 0.31, 0.19, 0.13
 16:25:51 up 35 min,  1 user,  load average: 0.26, 0.18, 0.13
 16:26:01 up 35 min,  1 user,  load average: 0.22, 0.17, 0.13
 16:26:11 up 35 min,  1 user,  load average: 0.19, 0.17, 0.12
 16:26:21 up 35 min,  1 user,  load average: 0.16, 0.16, 0.12
 16:26:31 up 35 min,  1 user,  load average: 0.13, 0.16, 0.12
 16:26:41 up 36 min,  1 user,  load average: 0.19, 0.17, 0.12
 16:26:51 up 36 min,  1 user,  load average: 0.24, 0.18, 0.13
 16:27:01 up 36 min,  1 user,  load average: 0.28, 0.19, 0.13
 16:27:11 up 36 min,  1 user,  load average: 0.31, 0.20, 0.14
 16:27:21 up 36 min,  1 user,  load average: 0.26, 0.19, 0.13
 16:27:31 up 36 min,  1 user,  load average: 0.22, 0.18, 0.13
 16:27:41 up 37 min,  1 user,  load average: 0.26, 0.20, 0.14
 16:27:51 up 37 min,  1 user,  load average: 0.22, 0.19, 0.13
 16:28:01 up 37 min,  1 user,  load average: 0.19, 0.18, 0.13
 16:28:11 up 37 min,  1 user,  load average: 0.16, 0.17, 0.13
 16:28:21 up 37 min,  1 user,  load average: 0.13, 0.17, 0.13
 16:28:31 up 37 min,  1 user,  load average: 0.11, 0.16, 0.13
 16:28:41 up 38 min,  1 user,  load average: 0.09, 0.16, 0.12
 16:28:51 up 38 min,  1 user,  load average: 0.08, 0.15, 0.12
 16:29:01 up 38 min,  1 user,  load average: 0.21, 0.18, 0.13
 16:29:11 up 38 min,  1 user,  load average: 0.18, 0.17, 0.13
 16:29:21 up 38 min,  1 user,  load average: 0.15, 0.17, 0.13
 16:29:31 up 38 min,  1 user,  load average: 0.20, 0.18, 0.13
 16:29:41 up 39 min,  1 user,  load average: 0.41, 0.22, 0.15
 16:29:51 up 39 min,  1 user,  load average: 0.35, 0.21, 0.14
 16:30:01 up 39 min,  1 user,  load average: 0.29, 0.21, 0.14
 16:30:11 up 39 min,  1 user,  load average: 0.25, 0.20, 0.14
 16:30:21 up 39 min,  1 user,  load average: 0.21, 0.19, 0.14
 16:30:31 up 39 min,  1 user,  load average: 0.18, 0.18, 0.14
 16:30:41 up 40 min,  1 user,  load average: 0.15, 0.18, 0.13
 16:30:51 up 40 min,  1 user,  load average: 0.13, 0.17, 0.13
 16:31:01 up 40 min,  1 user,  load average: 0.11, 0.17, 0.13
 16:31:11 up 40 min,  1 user,  load average: 0.09, 0.16, 0.13
 16:31:21 up 40 min,  1 user,  load average: 0.08, 0.15, 0.13
 16:31:31 up 40 min,  1 user,  load average: 0.06, 0.15, 0.12
 16:31:41 up 41 min,  1 user,  load average: 0.05, 0.14, 0.12
 16:31:51 up 41 min,  1 user,  load average: 0.04, 0.14, 0.12
 16:32:01 up 41 min,  1 user,  load average: 0.04, 0.13, 0.12
 16:32:11 up 41 min,  1 user,  load average: 0.03, 0.13, 0.12
 16:32:21 up 41 min,  1 user,  load average: 0.03, 0.12, 0.11
 16:32:31 up 41 min,  1 user,  load average: 0.02, 0.12, 0.11
 16:32:41 up 42 min,  1 user,  load average: 0.02, 0.11, 0.11
 16:32:51 up 42 min,  1 user,  load average: 0.01, 0.11, 0.11
 16:33:01 up 42 min,  1 user,  load average: 0.01, 0.11, 0.11
 16:33:11 up 42 min,  1 user,  load average: 0.01, 0.10, 0.10
 16:33:21 up 42 min,  1 user,  load average: 0.01, 0.10, 0.10
 16:33:31 up 42 min,  1 user,  load average: 0.01, 0.09, 0.10
 16:33:41 up 43 min,  1 user,  load average: 0.00, 0.09, 0.10
 16:33:51 up 43 min,  1 user,  load average: 0.15, 0.12, 0.11
 16:34:01 up 43 min,  1 user,  load average: 0.13, 0.12, 0.11
 16:34:11 up 43 min,  1 user,  load average: 0.11, 0.11, 0.10
 16:34:21 up 43 min,  1 user,  load average: 0.17, 0.12, 0.11
 16:34:31 up 43 min,  1 user,  load average: 0.14, 0.12, 0.11
 16:34:41 up 44 min,  1 user,  load average: 0.20, 0.13, 0.11
 16:34:51 up 44 min,  1 user,  load average: 0.17, 0.13, 0.11
 16:35:01 up 44 min,  1 user,  load average: 0.29, 0.16, 0.12
 16:35:11 up 44 min,  1 user,  load average: 0.25, 0.15, 0.12
 16:35:21 up 44 min,  1 user,  load average: 0.21, 0.14, 0.11
 16:35:31 up 44 min,  1 user,  load average: 0.18, 0.14, 0.11
 16:35:41 up 45 min,  1 user,  load average: 0.15, 0.13, 0.11
 16:35:51 up 45 min,  1 user,  load average: 0.20, 0.15, 0.11
 16:36:01 up 45 min,  1 user,  load average: 0.33, 0.18, 0.12
 16:36:11 up 45 min,  1 user,  load average: 0.43, 0.20, 0.13
 16:36:21 up 45 min,  1 user,  load average: 0.52, 0.23, 0.14
 16:36:31 up 45 min,  1 user,  load average: 0.67, 0.27, 0.16
 16:36:41 up 46 min,  1 user,  load average: 0.72, 0.30, 0.17
 16:36:51 up 46 min,  1 user,  load average: 0.92, 0.35, 0.19
 16:37:01 up 46 min,  1 user,  load average: 0.94, 0.38, 0.20
 16:37:11 up 46 min,  1 user,  load average: 1.09, 0.43, 0.22
 16:37:21 up 46 min,  1 user,  load average: 1.24, 0.48, 0.24
 16:37:31 up 46 min,  1 user,  load average: 1.28, 0.52, 0.25
 16:37:41 up 47 min,  1 user,  load average: 1.39, 0.57, 0.27
 16:37:51 up 47 min,  1 user,  load average: 1.25, 0.56, 0.27
 16:38:01 up 47 min,  1 user,  load average: 1.06, 0.54, 0.27
 16:38:11 up 47 min,  1 user,  load average: 0.97, 0.54, 0.27
 16:38:21 up 47 min,  1 user,  load average: 0.82, 0.52, 0.27
 16:38:31 up 47 min,  1 user,  load average: 0.69, 0.51, 0.27
